,0,1,2,3,4,5,6,Avaliação,Nome,Ranking,7,8
42,,,"Av. Duque de Caxias, 1046 - Vila Brasil, Londrina - PR, 86020-330","MR9X+98 Europa, Londrina - PR",(43) 3342-0918,Adicionar website,,(43),Depósito Eldorado,"4,8",,
43,,,"Av. Jamil Scaff, 1270 - Conj. Alexandre Urbanas, Londrina - PR, 86037-000","MVJQ+73 Conj. Alexandre Urbanas, Londrina - PR",(43) 3336-9793,Reivindicar esta empresa,Adicionar website,(63),Depósito Constril Material para Construção,"4,5",,
44,,,"Av. Europa, 962 - Jd Piza, Londrina - PR, 86041-000","JVW6+FV Parque Res. Joao Piza, Londrina - PR",depositoroseira.com,(43) 3341-4222,,(235),Depósito Roseira - Construção e Acabamentos,"4,7",,
45,,,"Av. Interventor Manoel Ribas, 736 - Centro, Rolândia - PR, 86600-137","MJRM+7V Centro, Rolândia - PR",pt-br.facebook.com,(43) 3256-2379,,(14),Bremen Tintas,"4,5",,
46,,,"R. Dep. Nilson Ribas, 40 - Jd Bancários, Londrina - PR, 86062-090","MRX9+8P Campo Belo, Londrina - PR",acabamentosalternativa.com.br,(43) 3347-7285,,(7),Alternativa Acabamentos Londrina,"3,9",,
47,,,"Av. Guilherme de Almeida, 1011 - Ouro Branco, Londrina - PR, 86042-000","JVM4+VG Ouro Branco, Londrina - PR",cec.com.br,(43) 3026-1044,Reivindicar esta empresa,(3),Casa da Construção,"4,3",,
48,,,"Av. Saul Elkind, 3095 - Jardim das Palmeiras, Londrina - PR, 86082-000","PRQM+PW Jardim das Palmeiras, Londrina - PR",(43) 3348-2424,Adicionar website,,(91),Depósito Betel - Materiais de Construção e Madeireira,"4,4",,
49,,,"Av. Luigi Amorese, 5555 - Cilo III, Londrina - PR, 86071-020","PR33+5W Cilo III, Londrina - PR",(43) 3327-4826,Adicionar website,,(4),Depósito VERA CRUZ - Materiais de Construção,"5,0",,
50,,,"Avenida Fernando Cerqueira César Coimbra, 830 Parque - Industrial, Londrina - PR","PQ7Q+HR Industrial, Londrina - PR",todimo.com.br,(43) 3376-5500,Reivindicar esta empresa,(127),Todimo Centro de Distribuição,"4,1",,
51,,,"Av. da Liberdade, 52 - Carnascialli, Londrina - PR, 86077-080","PRCH+C5 Carnascialli, Londrina - PR",(43) 3347-5767,Reivindicar esta empresa,Adicionar website,(1),Central Norte e Concrevith Materiais para construção,"5,0",,
52,,"R. Tapuias, 415 - João Paz, Londrina - PR, 86027-110","PV33+MR João Paz, Londrina - PR",(43) 3337-0524,Reivindicar esta empresa,Adicionar horário,Adicionar website,,Tapuias Madeiras e Materiais para Construção,,,
53,,,"R. Belo Horizonte, 477 - Centro, Londrina - PR, 86020-060","MRRM+J9 Centro, Londrina - PR",casaacabamentos.com.br,(43) 3324-5133,,(1),Casa Acabamentos,"1,0",,
54,,,"Av. Robert Koch, 1385 - Jardim Vale do Cedro, Londrina - PR, 86037-010","MVCJ+GX Jardim Vale do Cedro, Londrina - PR",depositoromani.com.br,(43) 3339-9193,Gerenciar esta ficha,(176),Depósito Romani Construção e Acabamentos,"4,3",,
55,,,"Av. Maringá, 1765 - Vitoria, Londrina - PR, 86060-000","MRJF+X8 Vitoria, Londrina - PR",centermaringa.com.br,3327-4545,,(115),DEPOSITO MARINGA,"4,7",,
56,,,"Rua Ermelindo Leão, 610 - Rica, Londrina - PR, 86025-150","PR4W+3H Rica, Londrina - PR",(43) 3329-0437,Adicionar website,,(4),Madeireira Itaúba e Materiais para Construção,"3,3",,
57,,,"Av. Tiradentes, 1120 - Shangri-lá, Londrina - PR, 86070-545","MRX8+R7 Shangri-lá, Londrina - PR",(43) 3378-0808,Reivindicar esta empresa,Adicionar website,(8),JML Acabamentos,"4,9",,
58,,,"Av. José Del Ciel Filho, 662 - Jardim Imagawa, Londrina - PR, 86080-780","PRF9+CW Jardim Imagawa, Londrina - PR",(43) 3338-7118,Adicionar website,,(82),Depósito SURIAN,"4,6",,
