1,Endereço 2,Endereço 1,Contato 2,Contato 1,Avaliação,Nome,Ranking,6,7
,"A, Av. Tiradentes, 1130 - Shangri-lá, Londrina - PR, 86070-545","MRX8+R6 Shangri-lá, Londrina - PR",espacosmart.com.br,(43) 3343-5050,(26),Espaço Smart,"4,2",Gerenciar esta ficha,
,"A, Av. Tiradentes, 1130 - Shangri-lá, Londrina - PR, 86070-545","MRX8+R6 Shangri-lá, Londrina - PR",espacosmart.com.br,(43) 3343-5050,(26),Espaço Smart,"4,2",Gerenciar esta ficha,
,"R. Rio Grande do Norte, 941 - Centro, Londrina - PR, 86026-490","MRVR+8P Centro, Londrina - PR",compenfort.com.br,(43) 3324-0123,(26),Compenfort,"4,6",,
,"Av. Europa, 962 - Jd Piza, Londrina - PR, 86041-000","JVW6+FV Parque Res. Joao Piza, Londrina - PR",depositoroseira.com,(43) 3341-4222,(235),Depósito Roseira - Construção e Acabamentos,"4,7",,
,"Av. Lúcia Helena Gonçalves Viana, 423 - Jardim Italia, Londrina - PR, 86079-180","PR6V+7V Jardim Italia, Londrina - PR",depositolondrinorte.com.br,(43) 3356-3353,(228),Depósito LondriNorte,"4,8",,
,"R. Quiri, 122 - Jd Sta Rita, Londrina - PR, 86071-480","PR62+VH Santa Rita I, Londrina - PR",massaprontasantarita.com.br,(43) 3338-5313,(22),Santa Rita - Depósito e Massa Pronta em Londrina,"4,6",,
,"Av. Inglaterra, 111 - Igapó, Londrina - PR, 86046-000","MV53+X5 Igapó, Londrina - PR",principecec.com.br,(43) 3341-3969,(202),Príncipe - Casa e Construção,"4,5",,
,"Av. Aracy Soares Santos, 196 - Jd Santiago, Londrina - PR, 86071-790","PR84+R6 Leonor, Londrina - PR",facebook.com,(43) 3338-1130,(20),Depósito Mônaco e Ferragens,"4,3",,
,"Av. Europa, 100 - Jd Piza, Londrina - PR, 86041-000","MV24+75 Parque Res. Joao Piza, Londrina - PR",(43) 3341-2010,Adicionar website,(2),Depósito Igapó Materiais p/ Construção,"4,5",,
,"Av. Guilherme de Almeida, 1393 - Ouro Branco, Londrina - PR, 86042-000","JVJ5+V8 Ouro Branco, Londrina - PR",(43) 3341-0104,Reivindicar esta empresa,(2),Depósito Eliane Materiais de Construção,5,Adicionar website,
,"Av. Jules Verne, 888 - Conj. Santa Rita 7, Londrina - PR, 86072-450","PQ8V+5F Conj. Santa Rita 7, Londrina - PR",Reivindicar esta empresa,Adicionar número de telefone,(2),Reinaldo Matos Materiais para Construção,5,Adicionar website,
,"R. Rio Paraná, 286 - Jardim Sao Paulo, Cambé - PR, 86185-300","PP3X+38 Jardim Sao Paulo, Cambé - PR",dickasa.com.br,(43) 3154-2900,(2),Dickasa Ferragens e Construção,5,,
,"Rodovia Carlos João Strass, 4170 - Heimtal, Londrina - PR, 86084-460","PRVV+22 Heimtal, Londrina - PR",(43) 3337-5940,Adicionar website,(2),Deposito Saul Elkind,4,,
,"Av. Sylvio Barros, 17 A - Milton Gavetti, Londrina - PR, 86078-020","PR9W+73 Milton Gavetti, Londrina - PR",facebook.com,(43) 98857-0709,(2),Art Forro Londrina,5,,
