,Nome,Avaliação,Endereço,Website,Rede Social
74,Depósito Maritacas,(12),"Av. das Maritacas, 1950 - Indusville, Londrina - PR, 86031-070",,
75,Depósito Locasa,(4),"Rua Ruy Virmond Carnascialli, 744 - Jd Leonor, Londrina - PR, 86071-260",,
76,Depósito Montten,(118),"Rod. Celso Garcia Cid, 3050 - Jardim Novo Bandeirantes, Londrina - PR, 86188-000",(43) 3251-4242,
77,Depósito Igapó,(7),"Av. Europa, 100 - Parque Res. Joao Piza, Londrina - PR, 86041-220",Reivindicar esta empresa,
78,Depósito Araguaia,(15),"R. Araguaia, 995 - Vl Nova, Londrina - PR, 86025-720",Reivindicar esta empresa,
79,Ponto Util Comercio de Materiais Hidraulicos,(10),"R. Belém, 66 - Vila Casoni, Londrina - PR, 86026-000",,
80,P.r.p. Empreendimentos e Construção Civil Ltda - Epp,(1),"R. Canudos, 286 - Jardim Higienopolis, Londrina - PR, 86015-040",,
81,Depósito Tropical,(19),"R. Edivaldo Ferreira de Lima, 50 - Jardim Tropical, Londrina - PR, 86001-970",,
82,Casa Shop Porcelanato,(3),"Av. Dez de Dezembro, 6331 - Parque Res. Joao Piza, Londrina - PR, 86046-140",,
83,Depósito Ipanema,(17),"Av. Bento Amaral Monteiro - Cinco Conjuntos, Londrina - PR, 86084-830",,
84,Depósito Sanderson II,(89),"Jd - Av. Guilherme de Almeida, 3089 - Santa Joana, Londrina - PR, 86042-001",(43) 3376-8200,
85,Construart Pré-Moldados,(27),"R. Edivaldo Ferreira de Lima, 440 - Jardim Tropical, Londrina - PR, 86087-646",(43) 3339-5579,
86,Naldo Materiais,(11),"R. das Limeiras, 270 - Marabá, Londrina - PR, 86035-630",Reivindicar esta empresa,
90,Art Forro Londrina,(2),"Av. Sylvio Barros, 17 A - Milton Gavetti, Londrina - PR, 86078-020",(43) 98857-0709,
91,Eletro Tubos,(32),"Av. Café Rubiácea, 1736 - Res. do Café, Londrina - PR, 86081-280",,
92,Depósito Leonor,(51),"R. Maurício Coelho Lima - Santa Rita 3, Londrina - PR, 86072-320",,
93,Alternativa Acabamentos Londrina,(7),"R. Dep. Nilson Ribas, 40 - Jd Bancários, Londrina - PR, 86062-090",(43) 3347-7285,
94,Casa Boa Vista Materiais Elétricos Hidráulicos e Ferramentas,(1),"R. Lindalva Silva Bassetto, 1385 - Jd Alto da Boa Vista, Londrina - PR, 86083-290",,
95,Artrofix Comércio de Materiais Cirúrgicos,(6),"Av. Bandeirantes, 1021 - Vila Ipiranga, Londrina - PR, 86010-020",,
96,IMPERCOM IMPERMEABILIZANTE,,"R. Quintino Bocaiúva - Centro, Londrina - PR, 86020-150",,
97,Eletronor Materiais Elétricos,,"R. Rolândia - Aurora, Londrina - PR, 86060-430",,
98,Parceiros da Construção - Casa & Acabamentos,(42),"Av. Waldemar Spranger, 1100 - Vale do Reno, Londrina - PR, 86047-285",(43) 3343-3434,
99,Diprotec - Distr. Produtos Técnicos para Construção Civil,(14),"Av. Jorge Casoni, 2396 - Centro, Londrina - PR, 86026-110",(43) 3037-7222,
100,Telhanorte Catuaí,(990),"377 Rodovia Celso Garcia Cid, AE / 01 - Gleba Fazenda Palhano, Londrina - PR, 86050-901",(43) 3878-5200,
101,Nice,,"R. Guadalajara, 240 - Santa Rosa, Londrina - PR, 86050-100",(43) 3304-8555,
102,Romani - Construção e Acabamentos,(6),"Av. Jamil Scaff, 2071 - Jardim Santa Alice, Londrina - PR, 86036-692",(43) 3321-9590,
103,Kijanelas Tudo em Portas e Janelas,(1),"Av. Tiradentes, 155 - Jardim Shangri-Lá A, Londrina - PR, 86070-545",Reivindicar esta empresa,
104,ART Jato Com de Massa P Vidro,,"R. Pirapó, 234 - Vila Zanetti, Londrina - PR, 86025-320",Reivindicar esta empresa,
105,TELHAS CIPÓ | TELHAS EM LONDRINA | MENOR PREÇO,(17),"Av. Nassim Jabur, 1009 - Paulista, Londrina - PR, 86079-050",(43) 3336-4653,
106,ImperCenter - Produtos Técnicos p/ Construção,(1),"R. Guaporé, 565 - Jardim Palmares, Londrina - PR, 86025-000",(43) 3326-8060,
107,Casa Paulo,(17),"R. Mato Grosso, 492 - Centro, Londrina - PR, 86010-180",,
108,HOUSE Pisos Porcelanato e Acabamentos londrina construção,(2),"Av. Dez de Dezembro, 7104 - Ouro Branco, Londrina - PR, 86046-140",(43) 3341-6009,
109,Açofer,(16),acoferlondrina.com.br,,
112,Diviplus Acabamentos,(90),"R. Bahia, 274 - Centro, Londrina - PR, 86026-020",(43) 3025-5500,
113,ALAMBRADOS LASER,(2),"Av. Rio Branco, 380 - Jardim Agari, Londrina - PR, 86025-595",(43) 3338-5563,
114,Aleluz,(7),"R. Serra da Graciosa, 186 - Bandeirantes, Londrina - PR, 86065-180",(43) 3025-2606,
116,Aleluz,(4),"Av. São João, 900 - Antares, Londrina - PR, 86039-290",(43) 3328-2606,
117,Ditudo Material Eletrico & Hidraulicos,(1),(43) 3357-1455,,
118,Forte Acessórios Industriais - Filial Londrina,,"R. Goiás, 610 - Centro, Londrina - PR, 86010-460",(43) 3025-1449,
119,Inox Londrina-Comércio de Metais,(2),"Av. Nassim Jabur, 145 - Jardim dos Alpes, Londrina - PR, 86025-190",(43) 3339-5315,
121,MF Ferramentas,(1),"R. Fernando de Noronha, 1280 - Centro, Londrina - PR, 86060-410",,
122,Teixeira Marques Comercial,(1),teixeiramarques.com.br,,
123,Deposito Menezes,(78),"Av. Gabriel Freceiro de Miranda, 1063, Cambé - PR, 86185-000",,
124,Cia do Impermeabilizante,(2),"Av. Saul Elkind, 4854 - Conj. Hab. Jose Giordano, Londrina - PR, 86082-000",,
125,Gessomax Comércio de Gesso LTDA-ME,(1),"Av. São João, 57 - Brasília, Londrina - PR, 86089-050",(43) 3338-0018,
126,Arte & Cor Tintas,,"Av. Arcebispo Dom Geraldo Fernandes, 2511 - Centro, Londrina - PR, 86010-360",Reivindicar esta empresa,
127,Depósito Londrina,(30),depositolondrina.com.br,,
128,SINTECO LONDRINA / LIXAMENTO TACO - ASSOALHO - APLICAÇÃO SINTECO - RESTAURAÇÃO PISO MADEIRA,,"R. São Vicente, 1461 - Jardim Palmares, Londrina - PR, 86025-040",(43) 99102-8588,
129,RPM TINTAS,,"R. Araguaia, 264 - SL 2 - Jardim Agari, Londrina - PR, 86025-720",(43) 3029-0580,
130,Compensados Dias Madeiras,,"R. Araguaia, 978 - Jardim Agari, Londrina - PR, 86025-720",,
131,Planac Distribuidora,(23),"R. Abelio Benatti, 4912 - Jardim do Sol, Londrina - PR, 86070-370",(43) 3028-5316,
134,Comercial Ivaiporã Ltda,(177),"Av. Inglaterra, 2 - Centro, Cambé - PR, 86181-000",(43) 3254-2468,
135,Master Revestimento De Madeira,,"estr MAJ Achilles P Ferreira - Km 05, PR",,
136,Metalúrgica e Serralheria Souza'rte,,"R. Teresina, 159 - Vila Shima Bokuro, Londrina - PR, 86020-250",Reivindicar esta empresa,
137,Mundial Tintas,,"R. Guaporé, 618 - Vila Nova, Londrina - PR, 86025-000",,
138,Comercial Ivaiporã Ltda,(123),"R. Ronat Valter Sodré, 180 - Vila Martins, Ibiporã - PR, 86200-000",(43) 3258-1319,
139,Kian Arte em Tapetes - Londrina,(1),"Av. Maringá, 2345 - Vitoria, Londrina - PR, 86060-180",(43) 3025-6959,
140,Serralheria Projetos,,"R. Iguape, 229 - Vl Nova, Londrina - PR, 86025-740",Reivindicar esta empresa,
142,Compenfort,(26),"R. Rio Grande do Norte, 941 - Centro, Londrina - PR, 86026-490",(43) 3324-0123,
143,deposito sao marcos,(8),"Av. Arcebispo Dom Geraldo Fernandes, 2555 - Leste Oeste, Londrina - PR, 86072-070",(43) 3376-1600,
144,Santa Rita - Depósito e Massa Pronta em Londrina,(22),massaprontasantarita.com.br,,
145,Serralheria Tietê,,"R. Tietê, 1240 - Jardim Tabapua, Londrina - PR, 86025-230",Reivindicar esta empresa,
146,Sirwal Serralheria,,"R. Des. Clotário Portugal, 235 - Bom Retiro, Londrina - PR, 86025-260",Reivindicar esta empresa,
147,Depósito Brasil Sul,(7),"Av Esperança, 2730 - Jardim Bela Suiça, Cambé - PR, 86186-260",(43) 3254-1740,
148,TINTAS LONDRINA,,"R. Bahia, 534 - Centro, Londrina - PR, 86025-010",(43) 3344-0912,
150,Londrina Motosserras,(12),"Av. Duque de Caxias, 3270 - Centro, Londrina - PR, 86025-140",,
151,Multi-Itens,,"R. Belo Horizonte, 305 - Centro, Londrina - PR, 86020-060",(43) 3344-6100,
152,Parafusos Londrina,(2),"R. Araguaia, 250 - Jardim Agari, Londrina - PR, 86025-720",(43) 3324-0024,
153,JC Parafusos,(1),"R. Araguaia, 250 - Vl Nova, Londrina - PR, 86025-720",(43) 3356-2446,
156,MARANDOLA TINTAS,(1),"R. Quintino Bocaiúva, 1196 - Centro, Londrina - PR, 86020-150",(43) 3326-2087,
157,Pisolon,(40),"R. Guaporé, 739 - Jardim Palmares, Londrina - PR, 86025-000",,
158,Angelo Mozzaquatro,(3),"R. João Pessoa, 119 - Jardim Agari, Londrina - PR, 86020-220",(43) 3028-2028,
160,Casa Do Construtor Londrina,(36),"Nº 1106 - Av. Tiradentes - Jardim Shangri-Lá A, Londrina - PR, 86070-545",(43) 3357-3355,
161,Pisos Laminados Londrina,(3),"Av. Santos Dumont, 502 - Bairro Aeroporto, Londrina - PR, 86089-050",(43) 99992-1802,
162,Horizonte Tintas Londrina,(4),"R. Belo Horizonte, 337 - Centro, Londrina - PR, 86020-060",(43) 3025-4200,
163,Tintas Sulplast,(5),"R. Mossoró, 483 - Centro, Londrina - PR, 86020-290",,
164,CAMBÉ CASA E CONSTRUÇÃO,(8),"R. Curitiba, 505 - Vila Mesquita, Cambé - PR, 86182-470",,
165,Pisos Passarela,(13),"R. Dolores Peralta, 20 - Parque Waldemar Hauer, Londrina - PR, 86030-270",(43) 3339-6013,
166,Miyazaki Tintas,(12),"Av. Maringá, 1299 - Vitoria, Londrina - PR, 86061-560",,
168,Casa das Tintas,(36),"R. Quintino Bocaiúva, 533 - Centro, Londrina - PR, 86020-150",(43) 3028-0994,
169,JVC Comércio de Tintas Ltda,(41),"R. Mossoró, 346 - Centro, Londrina - PR, 86020-290",(43) 3323-2070,
170,Sinteco Londrina,(6),"R. Sen. Souza Naves - Centro, Londrina - PR, 86010-921",(43) 3326-6873,
171,Pa Ubá Artefatos de Madeira,,"Rua Iguaçu, 135 - Jardim Palmares, Londrina - PR, 86025-430",,
172,BKM Materiais,,"R. Araçatuba, 203 - Amaro, Londrina - PR, 86062-340",(43) 3328-1320,
173,Viva Cor Tintas Londrina,(14),"R. Mossoró, 431 - Centro, Londrina - PR, 86020-290",(43) 3024-4508,
174,Jk Distribuidora de Parafusos e Borrachas,(11),"R. Guaporé, 1415 - Centro, Londrina - PR, 86020-000",(43) 3334-2600,
175,Tintas Darka - Duque - Londrina,(72),"Av. Duque de Caxias, 2871 - Centro, Londrina - PR, 86010-190",(43) 3325-9000,
178,Stillo Acabamentos,(7),"Av. Arcebispo Dom Geraldo Fernandes, 2777 - Loja 03 - Jardim Agari, Londrina - PR, 86020-145",(43) 3029-8585,
179,Londokap sua Kapazi em Londrina,(14),"R. Minas Gerais, 194 - sala 207 - Centro, Londrina - PR, 86010-170",(43) 3323-0693,
180,ServLar Tintas e Utilidades,(5),"Av. Saul Elkind, 233 - Jacutinga, Londrina - PR, 86086-000",(43) 3326-1757,
181,CBF FERRAMENTAS LTDA,(28),"Av. Célso García Cid, 287 - Centro, Londrina - PR, 86010-490",,
