,Classificação,Latitude,Longitude,Nome
175,(150),-23.258204,-51.144291,Depósito Alvorada - Materiais de Construção
176,(176),-23.303705,-51.162666,Guaporé Tintas
177,(10),-23.300830,-51.177166,Visoar Refrigeração e Ar Condicionado
178,(32),-23.286580,-51.173166,Telas e Alambrados Brasil Londrina
179,(18),-23.312330,-51.155791,Duque ferramentas
180,(28),-23.312455,-51.155291,CBF FERRAMENTAS LTDA
181,(9),-23.307330,-51.163291,Mercadão das Tintas
182,(9),0,0,Mercadão das Tintas
183,(1),-23.300955,-51.176666,Maglon Motosserras Autorizada Motor Honda
184,(32),-23.300830,-51.161916,Box Hbv - Fiel Vidros - Vidraçaria em Londrina
185,(6),-23.297955,-51.169791,Fox Tintas
186,(36),-23.309580,-51.155291,Dafel Ferramentas
187,(34),-23.298455,-51.170416,Box Vidraçaria Araguaia
188,(8),-23.301080,-51.169291,deposito sao marcos
189,(122),-23.300955,-51.176666,Brasolda - O Mundo das Ferramentas
190,(5),-23.258329,-51.139916,ServLar Tintas e Utilidades
191,(299),-23.303330,-51.170166,Macripar Parafusos & Ferramentas
192,(235),-23.303830,-51.162791,ROPEL MÁQUINAS E FERRAMENTAS
193,(38),-23.304080,-51.168166,Craf Ziliz - Máquinas e Ferramentas
194,(54),-23.304205,-51.169541,Bonfim Tintas
195,(15),-23.304221,-51.168607,Macri & Macri
196,(31),-23.320080,-51.166791,Depósito Londrina
197,,-23.292455,-51.171291,Ferro Velho República da Sucata
198,(22),-23.305830,-51.178666,Inoxlon
199,(19),-23.309080,-51.160416,Z Casa & Cozinha
200,(10),-23.300580,-51.162916,Mega Andaimes
201,(11),-23.279955,-51.172666,Madeireira Casa Verde
202,(11),0,0,Madeireira Casa Verde
203,(3),-23.345080,-51.166666,"BUNKER - LOCAÇÃO CONTAINER LONDRINA, obras, reformas, industrias, eventos"
204,(3),0,0,"BUNKER - LOCAÇÃO CONTAINER LONDRINA, obras, reformas, industrias, eventos"
205,(5),-23.303038,-51.170799,LONDRINA TINTAS Lojas de Tintas Texturas e Grafiatos em Londrina
